figure_id,figure_stem,data_file,figure_role,analysis_scope,analytical_window,notes
04d,figure_04d_regional_crude_rate_heatmap_2020_2025,output/tables/figure_data/figure_04d_regional_crude_rate_heatmap_2020_2025.csv,alternative,regional,2020-2025,Exact crude rates; ordered by 2025 standardised rate.
04e,figure_04e_regional_standardised_trends_2020_2025,output/tables/figure_data/figure_04e_regional_standardised_trends_2020_2025.csv,alternative,regional,2020-2025,"Intervals in 2020-2021 are disclosure-control bounds, not confidence intervals."
04f,figure_04f_regional_growth_rebound_2024_2025,output/tables/figure_data/figure_04f_regional_growth_rebound_2024_2025.csv,alternative,regional,2024-2025,Regional codes identify points; diagonal denotes unchanged growth.
05,figure_05_regional_standardised_rate_map_2025,output/tables/figure_data/figure_05_regional_standardised_rate_map_2025.csv,primary,regional_geospatial,2025,Metropolitan choropleth with separate BEN_REG 5 aggregate and unfilled DROM outlines.
S04-11,figure_s04_11_age_sex_rates_2020_2025,output/tables/figure_data/figure_s04_11_age_sex_rates_2020_2025.csv,supplementary,regional_age_sex,2020-2025,Age-sex-specific regional rates for region code 11; intervals reflect disclosure-control uncertainty.
S04-24,figure_s04_24_age_sex_rates_2020_2025,output/tables/figure_data/figure_s04_24_age_sex_rates_2020_2025.csv,supplementary,regional_age_sex,2020-2025,Age-sex-specific regional rates for region code 24; intervals reflect disclosure-control uncertainty.
S04-27,figure_s04_27_age_sex_rates_2020_2025,output/tables/figure_data/figure_s04_27_age_sex_rates_2020_2025.csv,supplementary,regional_age_sex,2020-2025,Age-sex-specific regional rates for region code 27; intervals reflect disclosure-control uncertainty.
S04-28,figure_s04_28_age_sex_rates_2020_2025,output/tables/figure_data/figure_s04_28_age_sex_rates_2020_2025.csv,supplementary,regional_age_sex,2020-2025,Age-sex-specific regional rates for region code 28; intervals reflect disclosure-control uncertainty.
S04-32,figure_s04_32_age_sex_rates_2020_2025,output/tables/figure_data/figure_s04_32_age_sex_rates_2020_2025.csv,supplementary,regional_age_sex,2020-2025,Age-sex-specific regional rates for region code 32; intervals reflect disclosure-control uncertainty.
S04-44,figure_s04_44_age_sex_rates_2020_2025,output/tables/figure_data/figure_s04_44_age_sex_rates_2020_2025.csv,supplementary,regional_age_sex,2020-2025,Age-sex-specific regional rates for region code 44; intervals reflect disclosure-control uncertainty.
S04-5,figure_s04_5_age_sex_rates_2020_2025,output/tables/figure_data/figure_s04_5_age_sex_rates_2020_2025.csv,supplementary,regional_age_sex,2020-2025,Age-sex-specific regional rates for region code 5; intervals reflect disclosure-control uncertainty.
S04-52,figure_s04_52_age_sex_rates_2020_2025,output/tables/figure_data/figure_s04_52_age_sex_rates_2020_2025.csv,supplementary,regional_age_sex,2020-2025,Age-sex-specific regional rates for region code 52; intervals reflect disclosure-control uncertainty.
S04-53,figure_s04_53_age_sex_rates_2020_2025,output/tables/figure_data/figure_s04_53_age_sex_rates_2020_2025.csv,supplementary,regional_age_sex,2020-2025,Age-sex-specific regional rates for region code 53; intervals reflect disclosure-control uncertainty.
S04-75,figure_s04_75_age_sex_rates_2020_2025,output/tables/figure_data/figure_s04_75_age_sex_rates_2020_2025.csv,supplementary,regional_age_sex,2020-2025,Age-sex-specific regional rates for region code 75; intervals reflect disclosure-control uncertainty.
S04-76,figure_s04_76_age_sex_rates_2020_2025,output/tables/figure_data/figure_s04_76_age_sex_rates_2020_2025.csv,supplementary,regional_age_sex,2020-2025,Age-sex-specific regional rates for region code 76; intervals reflect disclosure-control uncertainty.
S04-84,figure_s04_84_age_sex_rates_2020_2025,output/tables/figure_data/figure_s04_84_age_sex_rates_2020_2025.csv,supplementary,regional_age_sex,2020-2025,Age-sex-specific regional rates for region code 84; intervals reflect disclosure-control uncertainty.
S04-93,figure_s04_93_age_sex_rates_2020_2025,output/tables/figure_data/figure_s04_93_age_sex_rates_2020_2025.csv,supplementary,regional_age_sex,2020-2025,Age-sex-specific regional rates for region code 93; intervals reflect disclosure-control uncertainty.
S05,figure_s05_regional_standardised_rate_maps_2022_2025,output/tables/figure_data/figure_s05_regional_standardised_rate_maps_2022_2025.csv,supplementary,regional_geospatial,2022-2025,Common-scale maps restricted to years with complete standardised point estimates.
